NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLA	na	761	4.008407115936279	0.34347934	Yes	
row_1	NEUROD6	na	20243	-0.5987931489944458	-0.20125613	No	
row_2	NEUROD2	na	24174	-0.8619744777679443	-0.24330653	No	
row_3	IGFBPL1	na	24651	-0.8946959972381592	-0.17606203	No	
row_4	NEUROD1	na	26572	-1.044079303741455	-0.13958444	No	
row_5	RBFOX1	na	27830	-1.1498308181762695	-0.07302274	No	
row_6	CSRP2	na	27864	-1.1519765853881836	0.031405013	No	
row_7	PPP2R2B	na	28527	-1.2153172492980957	0.12227249	No	
