"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","nlog10p.adj","p_adj_FDR","nlog10p.FDR","cluster"
"PCDHB9",8.24849660099436e-40,-0.520973977856727,0.032,0.211,2.68084388028918e-35,34.5717284765442,7.91053736525917e-39,38.1017940137413,7
"PTN",1.3209175285264e-39,-0.824377380002634,0.606,0.873,4.29311405946365e-35,34.3672275730305,1.25806007372066e-38,37.9002986203673,7
"EVL",1.61316146746703e-39,-0.637119435211587,0.093,0.325,5.2429360854146e-35,34.2804254365684,1.52587396340546e-38,37.8164813374546,7
"MARCKS",2.81717487331807e-39,-1.15756664439074,0.421,0.658,9.15610005577107e-35,34.0382894701006,2.62872871625153e-38,37.5802542305974,7
"CSPG5",2.09119989367931e-38,-0.639525533088441,0.032,0.206,6.79660877444713e-34,33.1677077281635,1.92529803544742e-37,36.715502032321,7
"NPPA",5.65209308704565e-38,-0.699551810866317,0.027,0.193,1.83698677422071e-33,32.735893970479,5.16923215444374e-37,36.2865739628739,7
"LAPTM4B",6.52396597209849e-38,-0.718007941807447,0.077,0.294,2.12035418059173e-33,32.6735915891519,5.88862549507713e-37,36.2299860650713,7
"BNIP3L",6.64699250873816e-38,-0.744429715599215,0.13,0.372,2.16033903526499e-33,32.6654780870017,5.96071211335546e-37,36.2247018529399,7
"TRIM2",1.17096912030371e-37,-0.687822767402272,0.062,0.265,3.8057667378991e-33,32.4195578339018,1.04329571299318e-36,35.9815925771739,7
"CALD1",2.11431157954248e-37,-0.722784192911314,0.297,0.617,6.87172406467101e-33,32.1629342880006,1.84801537427099e-36,35.7332944200568,7
"QTRT1",2.69251744518189e-37,-0.636060341537865,0.093,0.319,8.75095094858567e-33,32.0579447504882,2.33859534075232e-36,35.6310449199105,7
"IGFBP3",6.99524948325078e-37,-1.37032361527743,0.014,0.155,2.27352603455134e-32,31.643300068247,6.03777471023083e-36,35.2191230960047,7
"FYN",8.20597458714587e-37,-0.786662096731371,0.178,0.431,2.66702380056828e-32,31.5739731086411,6.99534006472127e-36,35.1551911682855,7
"RAB31",1.47225866697663e-36,-0.64363747627154,0.095,0.324,4.78498789354076e-32,31.3201191566907,1.22481278258719e-35,34.9119302898326,7
"ACAP3",1.72425201398375e-36,-0.710701514983192,0.108,0.339,5.60399147064858e-32,31.2515025343879,1.41737620911402e-35,34.8485148612155,7
"SUB1",2.77053385320631e-36,-0.789324433661186,0.347,0.608,9.00451207630582e-32,31.0455398151386,2.26396878773841e-35,34.6451295648541,7
