"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","p_adj_FDR","nlog10p.adj","nlog10p.FDR","cluster"
"MT-CYB",5.15281755474374e-147,0.804830107005505,0.949,0.947,1.67471723346726e-142,2.54835618896496e-146,141.776058510604,145.593739869865,7
"AluYh3",7.86381613811125e-147,0.683546612104233,0.816,0.827,2.55581888304754e-142,3.86693636876924e-146,141.592469925506,145.412632974273,7
"L1MA9",2.20130228574093e-145,0.603992079174535,0.91,0.92,7.15445255888661e-141,1.04667981961125e-144,140.145423591778,143.980186149116,7
"L1MA3",1.40777770500994e-144,0.631517205419427,0.933,0.947,4.57541831905281e-140,6.53178580335257e-144,139.339569193324,143.184968065507,7
"L1MC1",4.96693757760273e-144,0.621258877663116,0.939,0.955,1.61430438209666e-139,2.28003570716551e-143,138.792014574322,142.642058351551,7
"Tigger1",1.92141551249906e-139,0.559306011661958,0.94,0.948,6.24479255717319e-135,8.02993504739316e-139,134.204481983674,138.095287967632,7
"L1MC5",5.45393192819812e-138,0.58613664466773,0.91,0.928,1.77258241598367e-133,2.23516465703047e-137,132.751393563211,136.650690478346,7
"MT-CO3",1.68569055300138e-136,0.77072805981838,0.98,0.979,5.47866286630977e-132,6.73495808907494e-136,131.261325423385,135.171665102501,7
"MIRb",6.55624376467681e-136,0.506057230938188,0.991,0.992,2.13084478595761e-131,2.60139695122579e-135,130.671448183818,134.584793373074,7
"L1MA8",9.90664630618204e-134,0.675650240023805,0.835,0.848,3.21975911597222e-129,3.79132406307543e-133,128.492176618527,132.421209092706,7
"L1MC5a",1.37062403162702e-131,0.574700295085997,0.913,0.937,4.45466516519098e-127,5.04413023153143e-131,126.351184934136,130.297213709152,7
"L1PREC2",5.9754588853597e-129,0.639478789207196,0.871,0.895,1.94208389233076e-124,2.11779097251147e-128,123.711732013774,127.67411690729,7
"L1ME2",9.27505823088875e-127,0.603207591902536,0.885,0.91,3.01448667562115e-122,3.19535938253772e-126,121.520786631426,125.495480289595,7
"L1MD1",8.28963930103197e-126,0.62255430918805,0.872,0.89,2.6942156692284e-121,2.80547400658454e-125,120.569567642389,124.551993750788,7
"L1MA2",2.3668809157026e-125,0.630689587970728,0.881,0.889,7.69259966412501e-121,7.94793085700911e-125,120.113926868392,124.099745919689,7
"L1MEg",5.1173417876817e-125,0.5635504348226,0.931,0.948,1.66318725441443e-120,1.71173099332144e-124,119.779058851814,123.766564485743,7
"Tigger3b",4.45947332556897e-122,0.552450463757578,0.873,0.903,1.44937342554317e-117,1.43334282307859e-121,116.838819705793,120.843649923793,7
"MT-ND2",6.53131117677176e-117,0.698782169659763,0.961,0.961,2.12274144556259e-112,1.93031559779248e-116,111.673102900607,115.714371680021,7
"AluSq4",1.99917360733183e-116,0.573670758508935,0.855,0.888,6.49751414118918e-112,5.82867169975462e-116,111.187252766627,115.234430405652,7
"L1MA4",2.16999131657191e-115,0.633463940841104,0.902,0.921,7.05268877799037e-111,6.22160301063641e-115,110.151645280339,114.206097703898,7
"L1MCa",2.51884025790017e-107,0.640076244905116,0.816,0.844,8.18648272220136e-103,6.16669260302936e-107,102.08690265043,106.209947699723,7
"L1MD2",4.31011000945874e-107,0.555966737210149,0.892,0.911,1.40082885417418e-102,1.05074150795562e-106,101.853614921265,105.978504111256,7
"AluYe5",2.37643285906835e-105,0.631547391049349,0.763,0.787,7.72364443525805e-101,5.64975635640768e-105,100.11217772756,104.247970280561,7
