gene_id,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,p_adj_FDR,nlog10p.adj,nlog10p.FDR,TE_class,TE_family,deg,nlog10p.adj_max,deglabs
AluSq10,3.47E-98,0.671141258,0.735,0.746,1.13E-93,7.26E-98,92.94799714,97.13878028,SINE,Alu,UP,92.94799714,NA
AluSq2,0,0.732961565,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSq4,2.00E-116,0.573670759,0.855,0.888,6.50E-112,5.83E-116,111.1872528,115.2344304,SINE,Alu,UP,111.1872528,NA
AluSx,0,0.74279121,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSx1,0,0.730163509,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSx3,0,0.72790354,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSx4,0,0.748857093,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSz,0,0.746893551,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSz6,0,0.713632942,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluY,0,0.793931534,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,AluY
AluYa5,3.04E-301,0.780561065,0.965,0.964,9.88E-297,1.50E-299,296.0053184,298.8242423,SINE,Alu,UP,296.0053184,NA
AluYb8,5.06E-185,0.711445716,0.897,0.908,1.65E-180,4.83E-184,179.7838016,183.3163361,SINE,Alu,UP,179.7838016,NA
AluYb9,1.37E-05,0.428871704,0.36,0.391,0.446412574,1.45E-05,0.350263581,4.837573475,SINE,Alu,NO,0.350263581,NA
AluYc,1.30E-174,0.631825896,0.916,0.938,4.21E-170,1.02E-173,169.375452,172.9927307,SINE,Alu,UP,169.375452,NA
AluYc3,2.66E-18,0.453373379,0.55,0.614,8.63E-14,2.89E-18,13.0638528,17.53955923,SINE,Alu,NO,13.0638528,NA
AluYd8,0.000558664,0.368053262,0.266,0.275,1,0.000584043,0,3.233555384,SINE,Alu,NO,0,NA
AluYe5,2.38E-105,0.631547391,0.763,0.787,7.72E-101,5.65E-105,100.1121777,104.2479703,SINE,Alu,UP,100.1121777,NA
AluYe6,0.000284169,0.385108027,0.275,0.284,1,0.000297799,0,3.526076776,SINE,Alu,NO,0,NA
AluYf1,2.08E-190,0.722565398,0.857,0.856,6.76E-186,2.21E-189,185.1703691,188.65474,SINE,Alu,UP,185.1703691,NA
AluYg6,9.34E-23,0.521092316,0.493,0.512,3.04E-18,1.02E-22,17.51755603,21.98996818,SINE,Alu,UP,17.51755603,NA
AluYh3,7.86E-147,0.683546612,0.816,0.827,2.56E-142,3.87E-146,141.5924699,145.412633,SINE,Alu,UP,141.5924699,NA
AluYh3a3,0.53227831,0.299976707,0.238,0.282,1,0.537573062,0,0.269562502,SINE,Alu,NO,0,NA
AluYj4,8.68E-240,0.777547021,0.891,0.896,2.82E-235,1.85E-238,234.5495626,237.7329036,SINE,Alu,UP,234.5495626,NA
AluYk2,1.03E-41,0.575853773,0.61,0.65,3.35E-37,1.19E-41,36.47522695,40.92414269,SINE,Alu,UP,36.47522695,NA
AluYk3,1.39E-101,0.653072629,0.735,0.757,4.50E-97,3.05E-101,96.34647853,100.5150962,SINE,Alu,UP,96.34647853,NA
AluYk4,6.85E-97,0.70064809,0.735,0.757,2.23E-92,1.38E-96,91.65262985,95.8594519,SINE,Alu,UP,91.65262985,NA
AluYm1,0,0.765647456,0.981,0.985,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AMD1,3.34E-89,-0.438352158,0.168,0.421,1.09E-84,5.90E-89,83.96448419,88.22878994,NA,NA,NO,83.96448419,NA
ANAPC11,1.70E-209,-0.729364813,0.34,0.751,5.52E-205,2.40E-208,204.2584159,207.6196317,NA,NA,DOWN,204.2584159,NA
ANAPC13,2.17E-79,-0.261468702,0.11,0.333,7.05E-75,3.19E-79,74.15183834,78.49636237,NA,NA,NO,74.15183834,NA
ANAPC16,2.73E-80,-0.278069489,0.209,0.47,8.87E-76,4.08E-80,75.05204107,79.38947899,NA,NA,NO,75.05204107,NA
ANGPTL4,6.25E-51,-0.573919063,0.048,0.18,2.03E-46,7.53E-51,45.69244152,50.12293709,NA,NA,DOWN,45.69244152,NA
ANP32A,1.91E-103,-0.383540576,0.162,0.441,6.22E-99,4.39E-103,98.206238,102.3573118,NA,NA,NO,98.206238,NA
ANP32B,9.99E-79,-0.334601171,0.254,0.521,3.25E-74,1.46E-78,73.48859591,77.83643658,NA,NA,NO,73.48859591,NA
ANP32E,9.24E-84,-0.307373964,0.103,0.327,3.00E-79,1.48E-83,78.52260816,82.83048554,NA,NA,NO,78.52260816,NA
ANXA1,1.07E-112,-0.728778293,0.086,0.339,3.49E-108,2.94E-112,107.4573002,111.5314967,NA,NA,DOWN,107.4573002,NA
ANXA2,1.08E-204,-1.08607492,0.207,0.585,3.49E-200,1.43E-203,199.456636,202.8454353,NA,NA,DOWN,199.456636,NA
ANXA5,3.54E-234,-0.887596547,0.254,0.683,1.15E-229,6.79E-233,228.9388048,232.1679032,NA,NA,DOWN,228.9388048,NA
