"GOID","Term","Class","Pvalue","p.adj","nlog10p.adj","OddsRatio","ExpCount","Count","Size","cluster","group"
"GO:0062197","cellular response to chemical stress","BP",1.98354295713502e-06,2.90450825679258e-05,4.5369273845951,3.09525442507056,9.15933425209371,26,360,"7","TE-enriched"
"GO:0007346","regulation of mitotic cell cycle","BP",3.21382561975129e-06,4.5395286878987e-05,4.34298923499978,2.43106032221806,16.9447683663734,38,666,"7","TE-enriched"
"GO:0034599","cellular response to oxidative stress","BP",4.9587724844997e-06,6.71902452707437e-05,4.17269377356221,3.17383481118337,7.88720449485848,23,310,"7","TE-enriched"
"GO:0044772","mitotic cell cycle phase transition","BP",5.2735872472985e-06,7.08702410557254e-05,4.14953609004089,2.47177139686503,15.3164422771123,35,602,"7","TE-enriched"
"GO:0010564","regulation of cell cycle process","BP",5.87494778124159e-06,7.81890272485686e-05,4.10685418990386,2.25796953014979,20.1250927594615,42,791,"7","TE-enriched"
"GO:1901988","negative regulation of cell cycle phase transition","BP",6.18604689300791e-06,8.16040415026969e-05,4.08828833194644,3.33251962096753,6.86950068907028,21,270,"7","TE-enriched"
"GO:0045786","negative regulation of cell cycle","BP",7.25000737314471e-06,9.43919438212254e-05,4.02506507035542,2.39937941269056,16.2069331071769,36,637,"7","TE-enriched"
"GO:0045930","negative regulation of mitotic cell cycle","BP",7.60910105672146e-06,9.80019488789351e-05,4.00876528778759,3,8.67592494434432,24,341,"7","TE-enriched"
"GO:0000278","mitotic cell cycle","BP",7.78622823899447e-06,9.98537921270619e-05,4.00063543736729,2.06250436190556,26.7910526873741,51,1053,"7","TE-enriched"
"GO:0007049","cell cycle","BP",1.01482928826422e-05,0.000126095697249262,3.89929973256081,1.78348280769103,47.8829640623344,78,1882,"7","TE-enriched"
"GO:0022402","cell cycle process","BP",1.1009156897704e-05,0.000135666338807304,3.86752789503511,1.89288039766862,36.1793702957702,63,1422,"7","TE-enriched"
"GO:0042127","regulation of cell population proliferation","BP",1.22321472975773e-05,0.000148899045051201,3.82710808754214,1.79831487498399,44.9316230255486,74,1766,"7","TE-enriched"
