"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CYP7B1",0,0.579296849031058,0.132,0.007,0
"CA2",0,2.58641968470443,0.697,0.124,0
"NECAB1",0,1.99488227448835,0.53,0.038,0
"LINC01608",0,0.683814966828462,0.138,0.002,0
"ENPP2",0,2.79320265494602,0.742,0.013,0
"NDRG1",0,1.56989118729273,0.702,0.216,0
"GPIHBP1",0,0.882432158816969,0.194,0.003,0
"PTPRD",0,1.72183405574765,0.541,0.107,0
"SLC24A2",0,2.30179689638188,0.651,0.02,0
"ANKRD18A",0,0.607744074580001,0.131,0.002,0
"SEMA4D",0,1.43634283473768,0.383,0.032,0
"SLC44A1",0,2.38739338571926,0.911,0.359,0
"SLC31A2",0,1.96145443723584,0.568,0.06,0
"GSN",0,3.29121340676616,0.863,0.242,0
"MVB12B",0,1.27441281114362,0.395,0.058,0
"FAM102A",0,1.36934971540572,0.424,0.084,0
"AL359091.1",0,1.29115632634325,0.32,0.03,0
"CERCAM",0,1.62877167479266,0.436,0.064,0
"AIF1L",0,1.93097074211213,0.606,0.141,0
"PTGDS",0,4.93008185542033,0.993,0.173,0
"ABCA2",0,2.63642806764763,0.742,0.052,0
"TPRN",0,0.797109804327682,0.2,0.021,0
"AL358216.1",0,1.02082404736065,0.215,0.004,0
"ADARB2",0,0.810426199480504,0.18,0.004,0
"FAM107B",0,2.24563935374501,0.712,0.124,0
"FAM171A1",0,1.21068945807867,0.365,0.053,0
"PIP4K2A",0,2.74511174140198,0.787,0.098,0
"ARHGAP21",0,1.64869562808657,0.674,0.274,0
"FAM13C",0,1.19898488837866,0.366,0.045,0
"ANK3",0,1.64934246015071,0.522,0.089,0
"TSPAN15",0,1.39902114972446,0.386,0.043,0
"USP54",0,1.1119486225645,0.336,0.057,0
"ZCCHC24",0,1.53678713540205,0.508,0.121,0
"LDB3",0,0.927064211902791,0.233,0.004,0
"TBC1D12",0,1.33837193393902,0.38,0.054,0
"OPALIN",0,1.46914147830247,0.241,0.003,0
"SCD",0,2.98129940446378,0.853,0.283,0
"SHTN1",0,1.69191674863664,0.629,0.178,0
"FGFR2",0,2.12308364103794,0.572,0.028,0
"LHPP",0,2.48153207765013,0.681,0.062,0
"C10orf90",0,0.781392239255003,0.2,0.011,0
"NKX6-2",0,2.04987456965452,0.521,0.008,0
"CDKN1C",0,1.6954580127237,0.47,0.057,0
"APBB1",0,1.59161664197594,0.505,0.117,0
"USH1C",0,0.512340548027099,0.11,0.003,0
"SVIP",0,1.90680080576675,0.599,0.144,0
"MAPK8IP1",0,1.77333021203146,0.556,0.12,0
"FOLH1",0,1.27337727130988,0.303,0.004,0
"MYRF",0,1.94734335232367,0.547,0.024,0
"PLAAT3",0,2.61530079963469,0.876,0.32,0
"CDC42EP2",0,0.846153810149049,0.219,0.017,0
"TMEM151A",0,1.56466161944907,0.436,0.01,0
"CARNS1",0,2.32241236679043,0.622,0.008,0
"PLEKHB1",0,2.2299297687478,0.779,0.21,0
"DLG2",0,1.0763700558576,0.301,0.032,0
"CRYAB",0,1.87262118592969,0.964,0.54,0
"BACE1",0,1.47862681567593,0.484,0.13,0
"PHLDB1",0,1.39134587850936,0.5,0.139,0
"FEZ1",0,2.50421733934336,0.906,0.438,0
"NTM",0,1.56435829259885,0.632,0.195,0
"NTM-AS1",0,0.488660804610964,0.114,0.002,0
"B3GAT1",0,1.45278609493473,0.461,0.083,0
"NINJ2",0,1.48644109311887,0.389,0.029,0
"SLCO1A2",0,1.22179127247803,0.281,0.01,0
"SLC48A1",0,1.90479948936841,0.594,0.092,0
"FAIM2",0,1.7846152401063,0.561,0.124,0
"GPD1",0,1.1563287498267,0.307,0.024,0
"ERBB3",0,1.48533887279504,0.454,0.06,0
"RPL41",0,-1.51826386812002,0.894,0.993,0
"KCNMB4",0,2.06605868576318,0.62,0.12,0
"ANKS1B",0,2.29038013747352,0.684,0.065,0
"GLTP",0,1.63891022201293,0.619,0.229,0
"PEBP1",0,1.4137217864327,0.951,0.78,0
"ZDHHC20",0,1.46412149998494,0.409,0.07,0
"AMER2",0,2.85393494111771,0.786,0.071,0
"FAM124A",0,0.888951683614868,0.253,0.017,0
"PCDH9",0,2.38346736650145,0.884,0.422,0
"SLAIN1",0,2.30964756762092,0.751,0.175,0
"MBNL2",0,1.66806537590322,0.515,0.101,0
"DOCK9",0,0.778091350406029,0.198,0.021,0
"TMTC4",0,1.58864034819922,0.454,0.062,0
"RNASE1",0,3.28879996289458,0.88,0.074,0
"CMTM5",0,2.15615549631355,0.668,0.096,0
"HSPA2",0,2.26867040458626,0.689,0.101,0
"PLEKHG3",0,0.954590466687276,0.217,0.016,0
"PLEKHH1",0,1.71424693522946,0.474,0.017,0
"CLMN",0,1.37654071391175,0.368,0.03,0
"PACS2",0,1.79917723275069,0.531,0.084,0
"MTMR10",0,1.19900999633371,0.346,0.058,0
"OTUD7A",0,0.717794328227363,0.172,0.009,0
"GREM1",0,0.968060998583879,0.173,0.009,0
"CAPN3",0,2.76760174245289,0.686,0.024,0
"SECISBP2L",0,1.92649678026567,0.648,0.191,0
"GLDN",0,1.08785112861488,0.338,0.053,0
"LARP6",0,2.50823757749341,0.725,0.115,0
"CPEB1",0,0.660935450756793,0.165,0.013,0
"SH3GL3",0,1.2459698483473,0.327,0.008,0
"SLCO3A1",0,1.34713546149271,0.361,0.027,0
"PCSK6",0,1.38385372718856,0.353,0.006,0
"ROGDI",0,1.83289528944235,0.559,0.108,0
"SEC14L5",0,0.781483477446108,0.188,0.002,0
"TMC7",0,0.694019065007068,0.187,0.018,0
"GPRC5B",0,1.89041972794336,0.717,0.241,0
"SLC5A11",0,0.789078234711292,0.187,0.001,0
"AC016597.1",0,0.660606816431072,0.152,0.01,0
"GNAO1",0,1.38868370115875,0.424,0.08,0
"PLLP",0,2.26313130806868,0.688,0.145,0
"CES4A",0,0.82947647444788,0.174,0.011,0
"FA2H",0,1.34229334951632,0.371,0.021,0
"CNTNAP4",0,1.46064242466533,0.394,0.012,0
"AC009063.2",0,1.13069922977048,0.273,0.011,0
"ASPA",0,1.04748551143543,0.256,0.009,0
"EVI2A",0,2.3306138185948,0.747,0.153,0
"MYO1D",0,0.609596697523457,0.155,0.006,0
"TMEM98",0,1.60360391728199,0.504,0.125,0
"ARHGAP23",0,1.18850155179056,0.338,0.043,0
"SRCIN1",0,1.62204262584264,0.462,0.022,0
"CNP",0,3.91859048353818,0.982,0.336,0
"SEPTIN4",0,2.96499105341059,0.787,0.084,0
"YPEL2",0,1.15194035286103,0.31,0.046,0
"ABCA8",0,1.33955651776607,0.367,0.059,0
"TTYH2",0,1.51116539066516,0.426,0.042,0
"SMIM6",0,0.451830925532536,0.104,0.002,0
"PRCD",0,1.09520547187444,0.288,0.034,0
"TMC6",0,1.11481326861157,0.309,0.042,0
"TMEM235",0,0.778349366663625,0.164,0.002,0
"DNAH17",0,0.605426257394871,0.142,0.003,0
"DNAH17-AS1",0,0.740436723271644,0.132,0.001,0
"AATK",0,2.21420070922695,0.65,0.083,0
"RAB40B",0,2.10807611408407,0.607,0.067,0
"EPB41L3",0,1.38687306240304,0.4,0.059,0
"PIEZO2",0,0.694005632179038,0.168,0.004,0
"OSBPL1A",0,1.94337751869066,0.648,0.15,0
"CDH19",0,1.05904141558391,0.246,0.019,0
"CNDP1",0,3.24173441331111,0.778,0.013,0
"MBP",0,4.62109273063278,0.992,0.297,0
"PLPP2",0,1.77823361449028,0.468,0.017,0
"HCN2",0,1.27366506228089,0.31,0.008,0
"GNG7",0,1.87656287737874,0.59,0.162,0
"DOHH",0,1.49265057859436,0.449,0.104,0
"TUBB4A",0,2.76240172835469,0.804,0.087,0
"S1PR5",0,0.722126062233036,0.172,0.003,0
"ELAVL3",0,1.50898304409174,0.602,0.202,0
"RPL18A",0,-1.42590891958904,0.814,0.975,0
"ZNF536",0,1.20840842663628,0.318,0.016,0
"LGI4",0,0.870263314616184,0.22,0.026,0
"MAG",0,3.83947393274912,0.911,0.016,0
"APLP1",0,3.57970157259028,0.953,0.232,0
"PPP1R14A",0,4.49675700947781,0.948,0.112,0
"SIRT2",0,2.17292701843918,0.821,0.346,0
"RPS19",0,-1.70031465580916,0.831,0.99,0
"KLK6",0,2.87246795048764,0.728,0.009,0
"PPP1R16B",0,0.817987104524935,0.215,0.012,0
"TP53TG5",0,0.45977004514646,0.102,0.002,0
"DBNDD2",0,4.39817743019514,0.978,0.303,0
"BCAS1",0,1.82303670211599,0.582,0.092,0
"LINC01549",0,0.740834665792676,0.164,0.009,0
"C21orf91",0,1.11479148072639,0.295,0.035,0
"LINC00320",0,1.42336803419107,0.335,0.016,0
"CBR1",0,2.12430872982719,0.823,0.416,0
"S100B",0,2.63388887270127,0.966,0.555,0
"SOX10",0,1.3280872327798,0.452,0.092,0
"SUN2",0,1.77167925896024,0.511,0.087,0
"CHADL",0,1.58817939402673,0.411,0.032,0
"CLCN4",0,1.00374098642806,0.27,0.031,0
"GPM6B",0,1.71751777956875,0.996,0.733,0
"PRRG1",0,1.11621127925064,0.301,0.03,0
"MID1IP1",0,1.87830558321015,0.523,0.141,0
