NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NR5A1	na	643	3.9724926948547363	0.10752946	Yes	
row_1	ADRA1A	na	1862	2.196946620941162	0.14042959	Yes	
row_2	SEC63	na	2462	1.8813607692718506	0.18228322	Yes	
row_3	ERCC1	na	2817	1.7378584146499634	0.22708464	Yes	
row_4	GHRHR	na	2823	1.735939860343933	0.28257623	Yes	
row_5	ZMPSTE24	na	3643	1.4827975034713745	0.30487633	Yes	
row_6	GNA11	na	4491	1.2738276720046997	0.3196153	Yes	
row_7	CISD2	na	6168	0.9669510722160339	0.29897818	Yes	
row_8	WRN	na	7112	0.8105825185775757	0.29591033	Yes	
row_9	EDNRA	na	7208	0.7959275841712952	0.31849712	Yes	
row_10	TFCP2L1	na	7297	0.7833784818649292	0.34089735	Yes	
row_11	GNA12	na	7652	0.7287709712982178	0.3533524	Yes	
row_12	LEP	na	7873	0.6990122199058533	0.36898172	Yes	
row_13	SLC1A2	na	8421	0.6211519241333008	0.37204126	Yes	
row_14	GBA	na	9456	0.48549529910087585	0.35574925	No	
row_15	LRRK2	na	10048	0.399789959192276	0.3503575	No	
row_16	CRYAB	na	10672	0.31874358654022217	0.341382	No	
row_17	GNA13	na	13420	-0.008303978480398655	0.25702095	No	
row_18	TP53	na	13455	-0.012626828625798225	0.25637826	No	
row_19	PRDM2	na	13831	-0.05453300103545189	0.24657364	No	
row_20	HYAL2	na	14918	-0.07341066002845764	0.21547025	No	
row_21	TH	na	15217	-0.08294668793678284	0.20894858	No	
row_22	IDE	na	15262	-0.0864652544260025	0.21036471	No	
row_23	HELT	na	15780	-0.10685814172029495	0.19786277	No	
row_24	INHBB	na	17043	-0.14503908157348633	0.16363339	No	
row_25	COMP	na	17590	-0.16664032638072968	0.15215434	No	
row_26	EDN1	na	22584	-0.3327636420726776	0.00900102	No	
row_27	AVPR1A	na	22739	-0.3374830484390259	0.015074756	No	
row_28	AVPR1B	na	25910	-0.4643920660018921	-0.067697786	No	
row_29	SERP1	na	26039	-0.47097960114479065	-0.056543827	No	
row_30	RAD54L	na	26407	-0.4883683919906616	-0.052195378	No	
row_31	MSH6	na	26638	-0.49811217188835144	-0.04331401	No	
row_32	MSH2	na	27375	-0.5358244776725769	-0.04881219	No	
row_33	RAD54B	na	28150	-0.5812909603118896	-0.05402361	No	
row_34	INPP5D	na	29360	-0.6677804589271545	-0.06986371	No	
row_35	TP63	na	29492	-0.6798205971717834	-0.052107763	No	
row_36	DDC	na	29537	-0.6836009621620178	-0.031550415	No	
row_37	ATM	na	29628	-0.6927417516708374	-0.012117184	No	
row_38	CGAS	na	31068	-0.8524062633514404	-0.029124742	No	
row_39	RNF165	na	31627	-0.9590550661087036	-0.01557257	No	
row_40	COQ7	na	32332	-1.323858380317688	0.0051755486	No	
