NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSRP2	na	7367	0.6352028250694275	-0.12537329	No	
row_1	NEUROD2	na	18839	-0.3389694392681122	-0.42431748	No	
row_2	SLA	na	19432	-0.36279410123825073	-0.38464963	No	
row_3	NEUROD6	na	25063	-0.6239486336708069	-0.45836097	Yes	
row_4	IGFBPL1	na	27997	-0.825879693031311	-0.41684985	Yes	
row_5	NEUROD1	na	30482	-1.0675491094589233	-0.32295978	Yes	
row_6	RBFOX1	na	31203	-1.172012448310852	-0.158113	Yes	
row_7	PPP2R2B	na	31580	-1.2409090995788574	0.028313763	Yes	
