"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CDCA4",0,0.324054036647473,0.831,0.581,0,"7","CDCA4"
"NEUROD1",0,0.288246383736124,0.863,0.611,0,"7","NEUROD1"
"ASRGL1.1",2.13405922124104e-300,0.497473116775144,0.84,0.564,4.26811844248208e-297,"7","ASRGL1"
"WDR34.1",3.07527805531894e-275,0.34348996730868,0.862,0.601,6.15055611063788e-272,"7","WDR34"
"CKAP2L",1.27621243604383e-269,0.892868093207076,0.726,0.459,2.55242487208766e-266,"7","CKAP2L"
"ATCAY.1",2.34348347239758e-269,0.386856787715907,0.79,0.483,4.68696694479515e-266,"7","ATCAY"
"NEURL1B",9.5751006603672e-244,0.280598469576698,0.702,0.401,1.91502013207344e-240,"7","NEURL1B"
"RND3",1.70589220793524e-238,-0.398414668804352,0.405,0.75,3.41178441587048e-235,"7","RND3"
"RNASE1",1.87739009221454e-224,-0.260225522339594,0.857,0.568,3.75478018442908e-221,"7","RNASE1"
"BEX1.3",2.08268665521861e-224,0.536982551077732,0.917,0.663,4.16537331043721e-221,"7","BEX1"
"KIF18B",1.084155038189e-177,0.334670907160246,0.667,0.356,2.168310076378e-174,"7","KIF18B"
"PLP1.1",0,5.84530249917097,1,0.552,0,"8","PLP1"
"MBP",0,4.36020527325468,1,0.739,0,"8","MBP"
"PPP1R14A",0,4.12720572196645,0.997,0.661,0,"8","PPP1R14A"
"TF",0,4.00792750931469,0.988,0.468,0,"8","TF"
"DBNDD2",0,3.92990616308979,0.996,0.734,0,"8","DBNDD2"
"PTGDS",0,3.82057768573892,0.997,0.464,0,"8","PTGDS"
"ERMN.1",0,3.75034189850706,0.985,0.589,0,"8","ERMN"
"SELENOP",0,3.47771723464711,0.986,0.727,0,"8","SELENOP"
"MOBP",0,3.42175270004048,0.978,0.574,0,"8","MOBP"
"CNP.1",0,3.31873346032473,0.996,0.682,0,"8","CNP"
"APLP1.1",0,3.20210384399257,0.987,0.606,0,"8","APLP1"
"TMEM144",0,3.12337479848915,0.961,0.636,0,"8","TMEM144"
"MAG",0,3.02215527110098,0.963,0.587,0,"8","MAG"
"ENPP2",0,2.96918201075147,0.956,0.608,0,"8","ENPP2"
"CLDN11",0,2.95948546017753,0.94,0.504,0,"8","CLDN11"
"EDIL3.1",0,2.91734380009202,0.96,0.486,0,"8","EDIL3"
"APOD",0,2.71431979164514,0.975,0.633,0,"8","APOD"
"S100A1",0,2.69839716441622,0.894,0.458,0,"8","S100A1"
"UGT8.1",0,2.68556184392283,0.962,0.549,0,"8","UGT8"
"RAPGEF5.1",0,2.6741974522073,0.944,0.506,0,"8","RAPGEF5"
"QDPR",0,2.5193048337849,0.985,0.735,0,"8","QDPR"
"ANLN.3",0,2.46960117036652,0.917,0.591,0,"8","ANLN"
"PIP4K2A",0,2.4597393855747,0.92,0.546,0,"8","PIP4K2A"
"RNASE1.1",0,2.41110440941412,0.938,0.571,0,"8","RNASE1"
"ABCA2",0,2.40521750810989,0.895,0.533,0,"8","ABCA2"
"SEPTIN4",0,2.36740329839181,0.937,0.534,0,"8","SEPTIN4"
"SLC44A1.1",0,2.35231007466958,0.944,0.664,0,"8","SLC44A1"
"SLC24A2",0,2.30943589789168,0.908,0.399,0,"8","SLC24A2"
"CARNS1",0,2.28456677457854,0.925,0.539,0,"8","CARNS1"
"ST18",0,2.27525176846426,0.936,0.457,0,"8","ST18"
"CNTN2",0,2.24420927027977,0.86,0.475,0,"8","CNTN2"
"TUBB4A",0,2.22797547917251,0.865,0.461,0,"8","TUBB4A"
"SYNJ2",0,2.20450098997645,0.962,0.667,0,"8","SYNJ2"
"FAM107B",0,2.20287226860647,0.886,0.466,0,"8","FAM107B"
"AMER2.1",0,2.19770603815701,0.86,0.544,0,"8","AMER2"
"PTPRD",0,2.15172088119061,0.953,0.603,0,"8","PTPRD"
"ANKS1B.1",0,2.13700227637832,0.86,0.469,0,"8","ANKS1B"
"KLK6",0,2.12814213697732,0.865,0.43,0,"8","KLK6"
"MAL",0,2.10671692246433,0.847,0.453,0,"8","MAL"
"SLAIN1",0,2.09706879715712,0.898,0.633,0,"8","SLAIN1"
"FGFR2",0,2.05988601412797,0.865,0.553,0,"8","FGFR2"
"PLLP",0,2.05549585284584,0.909,0.633,0,"8","PLLP"
"SEMA4D",0,2.02134553273374,0.975,0.596,0,"8","SEMA4D"
"PEX5L",0,2.0088004052638,0.915,0.466,0,"8","PEX5L"
"LINC00844",0,1.98372616244593,0.927,0.413,0,"8","LINC00844"
"HHATL",0,1.98017132177145,0.852,0.42,0,"8","HHATL"
"HAPLN2",0,1.9766737962514,0.879,0.356,0,"8","HAPLN2"
"NECAB1",0,1.96822231644467,0.861,0.605,0,"8","NECAB1"
"LHPP",0,1.96155145784474,0.84,0.551,0,"8","LHPP"
"PLEKHB1",0,1.94076366500767,0.866,0.464,0,"8","PLEKHB1"
"CDKN1C",0,1.88183153377858,0.907,0.488,0,"8","CDKN1C"
"BCAS1",0,1.85299495433405,0.847,0.503,0,"8","BCAS1"
"ANK3",0,1.82342481666224,0.881,0.553,0,"8","ANK3"
"CNDP1",0,1.81849239498833,0.825,0.423,0,"8","CNDP1"
"PLEKHH1",0,1.79084053468532,0.876,0.59,0,"8","PLEKHH1"
"PROX1",0,1.78250329072731,0.948,0.614,0,"8","PROX1"
