"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DUXAP8",5.17095519125527e-136,1.17734401838697,0.816,0.335,1.03419103825105e-132,"10","DUXAP8"
"TUSC3",5.96471090230892e-134,0.541519439656498,0.806,0.424,1.19294218046178e-130,"10","TUSC3"
"ADGRL4",2.99862353942306e-133,1.56110763947981,0.809,0.495,5.99724707884612e-130,"10","ADGRL4"
"CPM",6.46832441015204e-132,0.832570757229943,0.893,0.618,1.29366488203041e-128,"10","CPM"
"ESAM",1.64429830865753e-131,1.55342375782215,0.821,0.505,3.28859661731506e-128,"10","ESAM"
"PDLIM1",1.50344341756972e-129,1.25504378657763,0.852,0.538,3.00688683513943e-126,"10","PDLIM1"
"TMEM88",1.84152824371797e-128,0.830961369758394,0.77,0.358,3.68305648743594e-125,"10","TMEM88"
"SMOC2",7.19823602351111e-128,0.473720193680758,0.792,0.449,1.43964720470222e-124,"10","SMOC2"
"ACE",4.03773605194431e-127,0.621653576679154,0.806,0.503,8.07547210388862e-124,"10","ACE"
"MUSTN1",7.68543136762329e-126,0.951819516125806,0.787,0.447,1.53708627352466e-122,"10","MUSTN1"
"LAMC3",5.05054264565e-123,0.550741965148027,0.768,0.329,1.01010852913e-119,"10","LAMC3"
"PLVAP",1.06185389905375e-122,0.814442991662869,0.768,0.416,2.12370779810751e-119,"10","PLVAP"
"CNR1",2.10684214486432e-122,-0.518417150029467,0.351,0.808,4.21368428972864e-119,"10","CNR1"
"JCAD",3.97282575593463e-120,0.679889552103707,0.755,0.335,7.94565151186926e-117,"10","JCAD"
"ADGRA2",1.52190874112207e-119,0.561207363854626,0.768,0.331,3.04381748224414e-116,"10","ADGRA2"
"C1orf61.1",2.97124641312123e-119,-1.66476835090802,0.46,0.847,5.94249282624246e-116,"10","C1orf61"
"GPR85",9.65080103678427e-119,0.555581013305652,0.76,0.369,1.93016020735685e-115,"10","GPR85"
"FAM162B",1.89115215002858e-118,0.472496855823193,0.78,0.367,3.78230430005716e-115,"10","FAM162B"
"NOTCH4",2.67859292473595e-117,1.37397518961506,0.835,0.521,5.3571858494719e-114,"10","NOTCH4"
"COX4I2",7.98252782865482e-115,0.385825411656926,0.753,0.323,1.59650556573096e-111,"10","COX4I2"
"SFTA1P",1.56516847235513e-112,0.290664921939094,0.758,0.395,3.13033694471025e-109,"10","SFTA1P"
"HLA-DMA",1.86294583954597e-112,-0.517857408347712,0.215,0.794,3.72589167909195e-109,"10","HLA-DMA"
"APOLD1",1.63338024486531e-111,1.55295607226248,0.814,0.531,3.26676048973062e-108,"10","APOLD1"
"CXCL12",1.06999239520081e-110,0.630333552052131,0.77,0.402,2.13998479040161e-107,"10","CXCL12"
"SRPX.1",6.36228496756338e-110,-0.858196812544103,0.521,0.858,1.27245699351268e-106,"10","SRPX"
"SLFN5",5.57195237621971e-108,0.746300134305787,0.78,0.49,1.11439047524394e-104,"10","SLFN5"
"F13A1",7.45558501301462e-107,-0.508920623586943,0.455,0.83,1.49111700260292e-103,"10","F13A1"
"IL1RL1",8.54475452706559e-105,0.571256323009306,0.724,0.297,1.70895090541312e-101,"10","IL1RL1"
"NMB.1",1.05648276518317e-104,-1.25912032466436,0.61,0.885,2.11296553036635e-101,"10","NMB"
"HAS2.1",5.53872289001671e-103,-0.537919002536138,0.547,0.844,1.10774457800334e-99,"10","HAS2"
"TPM2",2.55821109856755e-102,2.07737245300729,0.898,0.591,5.11642219713509e-99,"10","TPM2"
"MEF2C.1",2.71643376087715e-102,1.14734238608001,0.896,0.637,5.43286752175429e-99,"10","MEF2C"
"MER87B",1.02326434890215e-101,0.570543683100091,0.799,0.516,2.0465286978043e-98,"10","MER87B"
"SORBS2",1.44407999714471e-101,1.34972212201782,0.765,0.473,2.88815999428941e-98,"10","SORBS2"
"PCED1B-AS1",1.30479927124565e-100,-0.310318538878337,0.329,0.783,2.6095985424913e-97,"10","PCED1B-AS1"
"COL9A3",1.57649217567796e-100,-0.409072652966503,0.07,0.627,3.15298435135592e-97,"10","COL9A3"
"SPOCK1.1",1.86557374625919e-99,-0.509459845593263,0.378,0.783,3.73114749251838e-96,"10","SPOCK1"
"TNC.1",2.36055506037203e-99,-1.075145029266,0.496,0.891,4.72111012074407e-96,"10","TNC"
"ID2",2.41668756941845e-99,-1.34891775642371,0.554,0.886,4.83337513883691e-96,"10","ID2"
"CD36",2.89312586076234e-99,0.279723983161273,0.748,0.455,5.78625172152468e-96,"10","CD36"
"SOX9.1",3.32568677653463e-99,-0.611453556036904,0.443,0.793,6.65137355306927e-96,"10","SOX9"
"SRARP",3.33253187355778e-99,0.848182760056956,0.736,0.365,6.66506374711556e-96,"10","SRARP"
"SLC6A1.1",3.60722647283771e-99,0.515952589185537,0.826,0.489,7.21445294567541e-96,"10","SLC6A1"
"NT5DC2",5.21915610401929e-94,0.461609069615619,0.877,0.474,1.04383122080386e-90,"10","NT5DC2"
"TMEM204",6.33342424087684e-92,1.23291424296167,0.755,0.463,1.26668484817537e-88,"10","TMEM204"
"C21orf62.1",1.55148557573442e-89,-0.589315220372777,0.542,0.855,3.10297115146885e-86,"10","C21orf62"
"TNS3",1.65851741484378e-88,0.465100880932884,0.787,0.478,3.31703482968756e-85,"10","TNS3"
"PDLIM4.1",2.64328434592236e-86,-0.574282111693676,0.6,0.877,5.28656869184473e-83,"10","PDLIM4"
