NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RBFOX1	na	2453	1.3566056489944458	0.17131962	Yes	
row_1	CSRP2	na	4269	0.9723449349403381	0.29236412	Yes	
row_2	PPP2R2B	na	6785	0.6898174285888672	0.34046414	Yes	
row_3	NEUROD2	na	19739	-0.136707603931427	-0.03330381	No	
row_4	SLA	na	27974	-0.4301545023918152	-0.20845248	No	
row_5	NEUROD6	na	30372	-0.5880016684532166	-0.17524467	No	
row_6	NEUROD1	na	30573	-0.6067126989364624	-0.071018115	No	
row_7	IGFBPL1	na	31518	-0.7161518335342407	0.030221902	No	
